message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	raw_input_emotions
R_1hGrPtWM4SumG0U_1	R_1hGrPtWM4SumG0U	67	5.667000000000001	4.375	1	1	এই নিবন্ধ থেকে এই অভিবাসীদের সম্পর্কে পড়তে সত্যিই হতাশাজনক যারা ডুবে গেছে। এটা আমাকে উদ্বিগ্ন এবং বিচলিত করে তোলে কিভাবে পুরো অগ্নিপরীক্ষা ঘটেছে। এটি একটি ভয়ানক ঘটনা যে এটি ভূমধ্য সাগরে ঘটতে হয়েছিল। সৌভাগ্যক্রমে কিছু বেঁচে ছিল। বাচ্চাদের হারিয়ে যাওয়ার বিষয়টি এই সব পড়ার জন্য এটিকে আরও বেশি আবেগপূর্ণ করে তোলে	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is really diheartening to read about these immigrants from this article who drowned. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  it makes me feel anxious and upset how the whole ordeal happened. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  it is a terrible occurrence that this had to happen at the mediterranean sea. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  thankfully there were some survivors. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  the fact that babies were lost makes it that much more emotional to read all of this [BOE] [sadness] [EOE] [EOS]
R_1hGrPtWM4SumG0U_2	R_1hGrPtWM4SumG0U	86	4.833	4.875	1	1	নির্বাচনের পর আত্মহত্যা প্রতিরোধ লাইন থেকে ফোনের লাইন বেড়ে যায়। রবিন উইলিয়ামস আত্মহত্যা করার সময়ও এটি আরোহণ করেছিল। সৌভাগ্যক্রমে আত্মহত্যার চিন্তাভাবনা আছে এমন অভাবীদের সাহায্য করার জন্য এই প্রতিরোধ লাইন রয়েছে তবে আমাদের লোকেদের শর্ত দিতে হবে যে আত্মহত্যা করা একটি অস্থায়ী সমস্যার স্থায়ী সমাধান	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the phone lines from the suicide prevention line surged after the election. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  it also climbed when robin williams committed suciide. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem [BOE] [neutral] [EOE] [EOS]
R_1hGrPtWM4SumG0U_3	R_1hGrPtWM4SumG0U	206	5.332999999999999	3.5	1	0	আপনার ঐতিহ্য যাই হোক না কেন, আপনি আপনার দেশের সেবা করতে সক্ষম হওয়া উচিত। তার থাই ঐতিহ্য তাকে বাধা দেওয়া উচিত নয় এবং এই বিতর্কে একটি সমস্যা হওয়া উচিত নয়। ট্যামি ডাকওয়ার্থ এবং তার পরিবারকে অভিনন্দন জানানো উচিত তারা এই দেশকে যে পরিষেবা দিয়েছে তার জন্য। বিতর্কে কোনো ধরনের বর্ণবাদের অনুমতি দেওয়া উচিত নয়	neutral	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] no matter what your heritage, you should be able to serve your country. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  tammy duckworth and her family should be congratulated on the services they have provided to this country. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS]  any type of racism should not be allowed in a debate [BOE] [anger] [EOE] [EOS]
R_1hGrPtWM4SumG0U_4	R_1hGrPtWM4SumG0U	290	4.167	5.25	1	1	এই সমস্ত হাঙ্গর আক্রমণ সম্পর্কে জানতে ভয় লাগে তবে এই সার্ফারদের খেলার সাথে সম্পর্কিত ঝুঁকি সম্পর্কে সচেতন হওয়া উচিত। হাঙ্গরগুলিকে স্থানান্তরিত করা একটি অগ্রাধিকার হওয়া উচিত এবং হাঙ্গর মহামারী মোকাবেলা না হওয়া পর্যন্ত জল ক্রীড়ার উপর একটি স্থগিতাদেশ প্রতিষ্ঠা করা সর্বোত্তম স্বার্থে হবে৷ অস্ট্রেলিয়ায় সমুদ্র সৈকত বন্ধ করা একটি ভাল সতর্কতামূলক পদ্ধতি	fear	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  closing beach in australia is a good precautionary method [BOE] [joy] [EOE] [EOS]
R_1hGrPtWM4SumG0U_5	R_1hGrPtWM4SumG0U	342	5.332999999999999	4.625	1	1	রাশিয়ানদের প্রবীণ প্রজন্মের সাথে সঠিকভাবে আচরণ করা হচ্ছে না এবং তাদের কিছু আর্থিক ক্ষতিপূরণ দেওয়া উচিত। তারা আর্থিকভাবে প্রতিদিন খুব কম জীবনযাপন করছে এবং দরিদ্র পরিস্থিতিতে বসবাস করছে। ইউটিলিটিগুলি পরিশোধ করার পরে, তাদের কাছে খাবারের জন্য পর্যাপ্ত পরিমাণ নেই। স্বাস্থ্যসেবাও খারাপের দিকে মোড় নিয়েছে কারণ জড়িত খরচের কারণে তারা যথাযথ স্বাস্থ্য চিকিৎসা নিতে পারে না	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the eldest generation of russians aren't being treated properly and should have some sort of financial compensation. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  they are living off very little per day financially and live in poor conditions. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  after paying utilities, they barely have enough for food. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_1	R_1jl9vLqdDRf4Epg	2	2.333	3.125	0	0	মধ্যপ্রাচ্য বিপর্যস্ত, আমি সত্যি বলতে শুনিনি মধ্যপ্রাচ্যের কোনো দেশ যেমন আফগানিস্তানের মতো মানুষদের বিতাড়িত করছে, এটার উল্লেখটা হাস্যকর শোনায়, কে সেই ছিন্নমূল দেশে থাকতে চাইবে যেটা সন্ত্রাসীদের দ্বারা আক্রান্ত এবং শিশু ধর্ষক? সম্ভবত সেই শরণার্থীরা পছন্দের বাইরে, সত্যি বলতে তাদের ইউএস বা যুক্তরাজ্যের মতো একটি ভাল দেশে আসা উচিত, যদিও সেই 2টি দেশের অভিবাসন সংক্রান্ত নিজস্ব নীতি রয়েছে, কিন্তু আমি মনে করি তারা যুদ্ধ বিধ্বস্ত দেশগুলির লোকদের প্রতি যথেষ্ট সহনশীল	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_2	R_1jl9vLqdDRf4Epg	117	2.167	2.875	0	0	প্রথমত যারা এই নিবন্ধটি লিখেছেন তারা জানেন না কীভাবে একটি নিবন্ধকে অনুচ্ছেদে সঠিকভাবে ভাগ করতে হয়, যা এই নিবন্ধটি পড়া অত্যন্ত বেদনাদায়ক করে তুলেছে, তবে তবুও আমি নিবন্ধটি পড়ার পরে জানি যে জিকা ভাইরাস বীর্য এবং যোনি তরলে থাকতে পারে। বর্ধিত সময়, তাই এটা স্পষ্ট যে জিকা ভাইরাস আছে এমন লোকেদের সাথে সঙ্গম করবেন না, এবং এমনকি সন্তান জন্ম দেওয়ার কথাও ভাবেন না, তারা ত্রুটিপূর্ণ হতে চলেছে	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective [BOE] [sadness] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_3	R_1jl9vLqdDRf4Epg	189	3.833	4.25	0	1	ভাল ভাল ভাল, আমাদের ভাল কি আছে তা দেখুন, অহংকারী কিম কারদাশিয়ান অবশেষে তার প্রাপ্য যা পেয়েছে: লক্ষ লক্ষ টাকা ছিনতাই করা হচ্ছে, এটি সম্পর্কে চিন্তা করা তিক্ত, এটি একটি ডাকাতি বিবেচনা করে, তবে অন্যভাবে চিন্তা করুন, একটি ধনী অতিরিক্ত মেয়ে কিম হিসাবে, সোশ্যাল মিডিয়ায় তার জিনিসপত্র সম্প্রচার করে, আমি অনুমান করি যে সে এটি নিজের উপর নিয়ে এসেছে	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_4	R_1jl9vLqdDRf4Epg	330	3.167	3.375	0	0	আমেরিকান পুলিশের আরেকটা মানসিক অসুস্থতা তার কৃষ্ণাঙ্গ বাসিন্দাদের বিরুদ্ধে, আমি সত্যি বলতে পারি না কেন তাদের বন্দুক নিয়ে এত সংবেদনশীল হতে হবে, তারা মানুষকে এমনভাবে গুলি করে যেন মানুষ গুলি বা অন্য কিছুর পরে পুনরুত্থান করতে পারে, পুলিশের আগে দুবার ভাবা উচিত কোন বৈধ কারণ ছাড়াই মানুষের জীবন কেড়ে নেওয়া, আমার মনে হয় পুলিশের বডি ক্যাম থাকা ভাল, তাই জনগণ দেখতে পাবে তারা নিজেদের উপর কী লজ্জার জন্ম দিচ্ছে	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves [BOE] [anger] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_5	R_1jl9vLqdDRf4Epg	368	2.5	3.125	0	0	মনে হচ্ছে একজন শৃঙ্গাকার পুরুষ কলেজ ছাত্রী অবশেষে প্রেমের পিছনে না ছুটে তার সম্ভাব্য প্রেমিকাকে ধর্ষণ করার সাহস নিয়েছে, কী একটি জঘন্য কাজ এবং নৈতিক দুর্নীতি, মহিলা ভিকটিমকে করা মানসিক আঘাতের পরিমাণ স্থায়ী এবং সে কখনই অনুভব করবে না আবার নিরাপদ, আমি আশা করি সে জেলে সাজা পাবে যতক্ষণ সে চিন্তা করেছে	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through [BOE] [disgust] [EOE] [EOS]
