message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	raw_input_emotions
R_1hGrPtWM4SumG0U_1	R_1hGrPtWM4SumG0U	67	5.667000000000001	4.375	1	1	Es ist wirklich entmutigend, in diesem Artikel über diese Einwanderer zu lesen, die ertrunken sind. Es macht mich ängstlich und verärgert, wie die ganze Tortur passiert ist. Es ist ein schrecklicher Vorfall, dass dies im Mittelmeer passieren musste. Zum Glück gab es einige Überlebende. Die Tatsache, dass Babys verloren gingen, macht es umso emotionaler, all dies zu lesen	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is really diheartening to read about these immigrants from this article who drowned. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  it makes me feel anxious and upset how the whole ordeal happened. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  it is a terrible occurrence that this had to happen at the mediterranean sea. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  thankfully there were some survivors. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  the fact that babies were lost makes it that much more emotional to read all of this [BOE] [sadness] [EOE] [EOS]
R_1hGrPtWM4SumG0U_2	R_1hGrPtWM4SumG0U	86	4.833	4.875	1	1	die Telefonleitungen der Suizid-Präventions-Hotline stiegen nach der Wahl an. es stieg auch, als robin williams selbstmord beging. Zum Glück gibt es diese Präventionslinie, um den Bedürftigen zu helfen, die Selbstmordgedanken haben, aber wir müssen die Menschen konditionieren, dass Selbstmord eine dauerhafte Lösung für ein vorübergehendes Problem ist	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the phone lines from the suicide prevention line surged after the election. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  it also climbed when robin williams committed suciide. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem [BOE] [neutral] [EOE] [EOS]
R_1hGrPtWM4SumG0U_3	R_1hGrPtWM4SumG0U	206	5.332999999999999	3.5	1	0	Unabhängig von Ihrer Herkunft sollten Sie in der Lage sein, Ihrem Land zu dienen. Ihr thailändisches Erbe sollte sie nicht ausschließen und hätte kein Thema in dieser Debatte sein sollen. Tammy Duckworth und ihrer Familie sollte zu den Diensten, die sie diesem Land geleistet haben, gratuliert werden. Jede Art von Rassismus sollte in einer Debatte nicht zugelassen werden	neutral	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] no matter what your heritage, you should be able to serve your country. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  tammy duckworth and her family should be congratulated on the services they have provided to this country. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS]  any type of racism should not be allowed in a debate [BOE] [anger] [EOE] [EOS]
R_1hGrPtWM4SumG0U_4	R_1hGrPtWM4SumG0U	290	4.167	5.25	1	1	Es ist beängstigend, von all diesen Haiangriffen zu erfahren, aber diese Surfer sollten sich der mit dem Sport verbundenen Risiken bewusst sein. Die Umsiedlung der Haie sollte eine Priorität sein, und es wäre im besten Interesse, ein Moratorium für Wassersport zu verhängen, bis die Hai-Epidemie bewältigt ist. Das Schließen von Stränden in Australien ist eine gute Vorsichtsmaßnahme	fear	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  closing beach in australia is a good precautionary method [BOE] [joy] [EOE] [EOS]
R_1hGrPtWM4SumG0U_5	R_1hGrPtWM4SumG0U	342	5.332999999999999	4.625	1	1	Die älteste Generation von Russen wird nicht richtig behandelt und sollte eine Art finanzielle Entschädigung erhalten. sie leben finanziell von sehr wenig pro Tag und leben in ärmlichen Verhältnissen. Nachdem sie die Nebenkosten bezahlt haben, haben sie kaum genug zum Essen. Auch die Gesundheitsversorgung hat sich verschlechtert, weil sie sich aufgrund der damit verbundenen Kosten keine angemessene Gesundheitsversorgung leisten können	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the eldest generation of russians aren't being treated properly and should have some sort of financial compensation. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  they are living off very little per day financially and live in poor conditions. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  after paying utilities, they barely have enough for food. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_1	R_1jl9vLqdDRf4Epg	2	2.333	3.125	0	0	Der Nahe Osten ist beschissen, ich habe ehrlich gesagt noch nie von einem Land im Nahen Osten wie Afghanistan gehört, das Menschen abschiebt, die Erwähnung davon klingt einfach komisch, wer zum Teufel würde in diesem von Terroristen verseuchten Scheißlochland bleiben wollen und Kindervergewaltiger? Vielleicht haben diese Flüchtlinge keine Wahl, ehrlich gesagt sollten sie in ein besseres Land wie die USA oder Großbritannien kommen, obwohl diese beiden Länder ihre eigene Einwanderungspolitik haben, aber ich denke, sie tolerieren Menschen aus kriegszerrütteten Ländern	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_2	R_1jl9vLqdDRf4Epg	117	2.167	2.875	0	0	Nun, zuerst einmal, wer auch immer diesen Artikel geschrieben hat, weiß nicht, wie man einen Artikel richtig in Absätze unterteilt, was das Lesen dieses Artikels extrem schmerzhaft machte, aber nichtsdestotrotz weiß ich nach dem Lesen des Artikels, dass Zika-Viren dazu neigen, in Sperma und Vaginalflüssigkeit zu bleiben längere Zeit, also ist es offensichtlich, sich nicht mit Menschen zu paaren, die das Zika-Virus haben, und nicht einmal daran denken, ein Baby zu bekommen, sie werden defekt sein	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective [BOE] [sadness] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_3	R_1jl9vLqdDRf4Epg	189	3.833	4.25	0	1	na na na gut, schau dir an, was wir haben na gut, die arrogante Kim Kardashian hat endlich bekommen, was sie verdient: für Millionen ausgeraubt zu werden, der Gedanke daran ist bitter, wenn man bedenkt, dass es doch ein Raub ist, aber denk anders herum, ein reiches überflüssiges Mädchen Als Kim ihre Sachen in den sozialen Medien verbreitete, hat sie sich das wohl selbst eingebrockt	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_4	R_1jl9vLqdDRf4Epg	330	3.167	3.375	0	0	Nur eine weitere beschissene Geisteskrankheit der amerikanischen Polizei gegen ihre schwarzen Einwohner. Ich habe ehrlich gesagt keine Ahnung, warum sie mit ihren verdammten Waffen so sensibel sein müssen, sie schießen auf Menschen, als ob Menschen nach einem Schuss wieder aufleben könnten oder so, die Polizei sollte es sich vorher zweimal überlegen Menschen ohne legitimen Grund das Leben nehmen, denke ich, ist es gut, dass die Polizei eine Körperkamera hat, damit die Öffentlichkeit sehen kann, welche Schande sie über sich selbst bringt	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves [BOE] [anger] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_5	R_1jl9vLqdDRf4Epg	368	2.5	3.125	0	0	Es scheint, dass ein geiler männlicher College-Student endlich den Mut gefasst hat, nicht nach Liebe zu streben, sondern seinen potenziellen Liebhaber zu vergewaltigen, was für eine widerliche Tat und moralische Korruption, das Ausmaß an emotionalem Trauma, das dem weiblichen Opfer zugefügt wird, ist dauerhaft und sie würde es nie fühlen wieder in Sicherheit, ich hoffe, er kommt lange genug ins Gefängnis, bis er es sich überlegt hat	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through [BOE] [disgust] [EOE] [EOS]
