message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	raw_input_emotions
R_1hGrPtWM4SumG0U_1	R_1hGrPtWM4SumG0U	67	5.667000000000001	4.375	1	1	Είναι πραγματικά απογοητευτικό να διαβάζεις για αυτούς τους μετανάστες από αυτό το άρθρο που πνίγηκαν. με κάνει να νιώθω ανήσυχος και αναστατωμένος πώς συνέβη όλη η δοκιμασία. Είναι τρομερό το γεγονός ότι αυτό έπρεπε να συμβεί στη Μεσόγειο θάλασσα. ευτυχώς υπήρξαν κάποιοι επιζώντες. Το γεγονός ότι τα μωρά χάθηκαν το κάνει πολύ πιο συναισθηματικό να διαβάζεις όλα αυτά	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is really diheartening to read about these immigrants from this article who drowned. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  it makes me feel anxious and upset how the whole ordeal happened. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  it is a terrible occurrence that this had to happen at the mediterranean sea. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  thankfully there were some survivors. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  the fact that babies were lost makes it that much more emotional to read all of this [BOE] [sadness] [EOE] [EOS]
R_1hGrPtWM4SumG0U_2	R_1hGrPtWM4SumG0U	86	4.833	4.875	1	1	Οι τηλεφωνικές γραμμές από τη γραμμή πρόληψης αυτοκτονιών αυξήθηκαν μετά τις εκλογές. ανέβηκε επίσης όταν ο Ρόμπιν Γουίλιαμς αυτοκτόνησε. Ευτυχώς, υπάρχει αυτή η γραμμή πρόληψης για να βοηθήσει όσους έχουν ανάγκη από αυτοκτονικές σκέψεις, αλλά πρέπει να καταστήσουμε τους ανθρώπους προϋπόθεση ότι η αυτοκτονία είναι μια μόνιμη λύση σε ένα προσωρινό πρόβλημα	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the phone lines from the suicide prevention line surged after the election. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  it also climbed when robin williams committed suciide. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem [BOE] [neutral] [EOE] [EOS]
R_1hGrPtWM4SumG0U_3	R_1hGrPtWM4SumG0U	206	5.332999999999999	3.5	1	0	ανεξάρτητα από την κληρονομιά σας, θα πρέπει να είστε σε θέση να υπηρετήσετε τη χώρα σας. Η ταϊλανδική κληρονομιά της δεν θα έπρεπε να την αποκλείει και δεν θα έπρεπε να αποτελεί θέμα σε αυτήν τη συζήτηση. Η Tammy Duckworth και η οικογένειά της πρέπει να αξίζουν συγχαρητήρια για τις υπηρεσίες που έχουν προσφέρει σε αυτή τη χώρα. οποιοσδήποτε τύπος ρατσισμού δεν πρέπει να επιτρέπεται σε μια συζήτηση	neutral	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] no matter what your heritage, you should be able to serve your country. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  tammy duckworth and her family should be congratulated on the services they have provided to this country. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS]  any type of racism should not be allowed in a debate [BOE] [anger] [EOE] [EOS]
R_1hGrPtWM4SumG0U_4	R_1hGrPtWM4SumG0U	290	4.167	5.25	1	1	Είναι τρομακτικό να μαθαίνεις για όλες αυτές τις επιθέσεις καρχαριών, αλλά αυτοί οι σέρφερ θα πρέπει να γνωρίζουν τους κινδύνους που συνδέονται με το άθλημα. Η μετεγκατάσταση των καρχαριών θα πρέπει να αποτελεί προτεραιότητα και θα ήταν προς το καλύτερο συμφέρον να καθιερωθεί μορατόριουμ στα θαλάσσια σπορ μέχρι να αντιμετωπιστεί η επιδημία των καρχαριών. Το κλείσιμο της παραλίας στην Αυστραλία είναι μια καλή προληπτική μέθοδος	fear	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  closing beach in australia is a good precautionary method [BOE] [joy] [EOE] [EOS]
R_1hGrPtWM4SumG0U_5	R_1hGrPtWM4SumG0U	342	5.332999999999999	4.625	1	1	Η παλαιότερη γενιά Ρώσων δεν αντιμετωπίζεται σωστά και θα πρέπει να έχει κάποιου είδους οικονομική αποζημίωση. ζουν ελάχιστα οικονομικά την ημέρα και ζουν σε κακές συνθήκες. αφού πληρώνουν κοινόχρηστα, μόλις που έχουν αρκετό φαγητό. Η υγειονομική περίθαλψη έχει επίσης πάρει μια στροφή προς το χειρότερο επειδή δεν έχουν την οικονομική δυνατότητα να λάβουν την κατάλληλη υγειονομική περίθαλψη λόγω του κόστους που συνεπάγεται	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the eldest generation of russians aren't being treated properly and should have some sort of financial compensation. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  they are living off very little per day financially and live in poor conditions. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  after paying utilities, they barely have enough for food. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_1	R_1jl9vLqdDRf4Epg	2	2.333	3.125	0	0	Η Μέση Ανατολή είναι γαμημένη, ειλικρινά δεν έχω ακούσει ποτέ για μια χώρα της Μέσης Ανατολής όπως το Αφγανιστάν να απελαύνει ανθρώπους, η αναφορά σε αυτό ακούγεται απλώς αστεία, ποιος διάολο θα ήθελε να μείνει σε αυτή τη χώρα με την τρύπα που έχει μολυνθεί από τρομοκράτες και βιαστές παιδιών; Ίσως αυτοί οι πρόσφυγες είναι εκτός επιλογής, ειλικρινά θα έπρεπε να έρθουν σε μια καλύτερη χώρα όπως οι ΗΠΑ ή το Ηνωμένο Βασίλειο, παρόλο που αυτές οι 2 χώρες έχουν τις δικές τους πολιτικές σχετικά με τη μετανάστευση, αλλά νομίζω ότι είναι αρκετά ανεκτικοί σε ανθρώπους από χώρες που έχουν υποστεί πόλεμο	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_2	R_1jl9vLqdDRf4Epg	117	2.167	2.875	0	0	Λοιπόν, πρώτα απ 'όλα, όποιος έγραψε αυτό το άρθρο δεν ξέρει πώς να χωρίσει σωστά ένα άρθρο σε παραγράφους, κάτι που έκανε την ανάγνωση αυτού του άρθρου εξαιρετικά επώδυνη, αλλά παρ' όλα αυτά γνωρίζω αφού διάβασα το άρθρο ότι ο ιός Ζίκα τείνει να παραμένει στο σπέρμα και στο κολπικό υγρό για παρατεταμένο χρονικό διάστημα, επομένως είναι προφανές ότι μην ζευγαρώνετε με άτομα που έχουν ιό ζίκα και μην σκέφτεστε καν να κάνετε μωρό, θα είναι ελαττωματικά	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective [BOE] [sadness] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_3	R_1jl9vLqdDRf4Epg	189	3.833	4.25	0	1	Λοιπόν, καλά καλά, κοίτα τι έχουμε καλά, η αλαζονική Kim Kardashian πήρε επιτέλους αυτό που της αξίζει: να την κλέψουν για εκατομμύρια, η σκέψη είναι πικρή, θεωρώντας ότι τελικά είναι ληστεία, αλλά σκέψου το αντίθετο, μια πλούσια περιττή κοπέλα καθώς η Kim, μεταδίδοντας τα υπάρχοντά της στα μέσα κοινωνικής δικτύωσης, υποθέτω ότι το έφερε πάνω της	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_4	R_1jl9vLqdDRf4Epg	330	3.167	3.375	0	0	απλώς άλλη μια γαμημένη ψυχική ασθένεια της αμερικανικής αστυνομίας εναντίον των μαύρων κατοίκων της, ειλικρινά δεν έχω ιδέα γιατί πρέπει να είναι τόσο ευαίσθητοι με τα γαμημένα όπλα τους, πυροβολούν ανθρώπους σαν να μπορούν να ξαναζωντανέψουν αφού πυροβοληθούν ή κάτι τέτοιο, η αστυνομία θα πρέπει να το σκεφτεί δύο φορές πριν αφαιρώντας τις ζωές ανθρώπων χωρίς νόμιμο λόγο, υποθέτω ότι είναι καλό που η αστυνομία έχει κάμερα, ώστε το κοινό να μπορεί να δει τι ντροπή φέρνουν στον εαυτό τους	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves [BOE] [anger] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_5	R_1jl9vLqdDRf4Epg	368	2.5	3.125	0	0	Φαίνεται ότι ένας καυλιάρης φοιτητής κολεγίου πήρε τελικά το θάρρος να μην κυνηγήσει την αγάπη, αλλά να βιάσει τον πιθανό εραστή του, τι αποκρουστική πράξη και ηθική διαφθορά, το μέγεθος του συναισθηματικού τραύματος που προκαλείται στη γυναίκα θύμα είναι μόνιμο και δεν θα ένιωθε ποτέ ασφαλής και πάλι, ελπίζω να καταδικαστεί σε φυλάκιση για αρκετό καιρό που σκέφτηκε	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through [BOE] [disgust] [EOE] [EOS]
