message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	raw_input_emotions
R_1hGrPtWM4SumG0U_1	R_1hGrPtWM4SumG0U	67	5.667000000000001	4.375	1	1	इस लेख से इन अप्रवासियों के बारे में पढ़ना वास्तव में बहुत ही निराशाजनक है जो डूब गए। यह मुझे चिंतित और परेशान करता है कि पूरी परीक्षा कैसे हुई। यह एक भयानक घटना है कि यह भूमध्य सागर में होना ही था। शुक्र है कि कुछ बचे थे। तथ्य यह है कि बच्चे खो गए थे यह सब पढ़ने के लिए और अधिक भावनात्मक बनाता है	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is really diheartening to read about these immigrants from this article who drowned. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  it makes me feel anxious and upset how the whole ordeal happened. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  it is a terrible occurrence that this had to happen at the mediterranean sea. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  thankfully there were some survivors. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  the fact that babies were lost makes it that much more emotional to read all of this [BOE] [sadness] [EOE] [EOS]
R_1hGrPtWM4SumG0U_2	R_1hGrPtWM4SumG0U	86	4.833	4.875	1	1	चुनाव के बाद आत्महत्या रोकथाम लाइन से फोन लाइनें बढ़ीं। यह तब भी चढ़ गया जब रॉबिन विलियम्स ने आत्महत्या कर ली। शुक्र है कि यह रोकथाम रेखा जरूरतमंद लोगों की मदद करने के लिए है जिनके पास आत्महत्या के विचार हैं लेकिन हमें लोगों को यह शर्त लगाने की जरूरत है कि आत्महत्या करना एक अस्थायी समस्या का स्थायी समाधान है	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the phone lines from the suicide prevention line surged after the election. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  it also climbed when robin williams committed suciide. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem [BOE] [neutral] [EOE] [EOS]
R_1hGrPtWM4SumG0U_3	R_1hGrPtWM4SumG0U	206	5.332999999999999	3.5	1	0	आपकी विरासत चाहे जो भी हो, आपको अपने देश की सेवा करने में सक्षम होना चाहिए। उसकी थाई विरासत को उसे रोकना नहीं चाहिए था और इस बहस में कोई मुद्दा नहीं होना चाहिए था। टैमी डकवर्थ और उनके परिवार को उनके द्वारा इस देश को प्रदान की गई सेवाओं के लिए बधाई दी जानी चाहिए। बहस में किसी भी तरह के नस्लवाद की अनुमति नहीं दी जानी चाहिए	neutral	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] no matter what your heritage, you should be able to serve your country. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  tammy duckworth and her family should be congratulated on the services they have provided to this country. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS]  any type of racism should not be allowed in a debate [BOE] [anger] [EOE] [EOS]
R_1hGrPtWM4SumG0U_4	R_1hGrPtWM4SumG0U	290	4.167	5.25	1	1	शार्क के इन सभी हमलों के बारे में जानकर डर लगता है लेकिन इन सर्फ़ करने वालों को खेल से जुड़े जोखिमों के बारे में पता होना चाहिए। शार्क को स्थानांतरित करना एक प्राथमिकता होनी चाहिए और शार्क महामारी से निपटने तक पानी के खेल पर रोक लगाना सबसे अच्छा हित होगा। ऑस्ट्रेलिया में समुद्र तट को बंद करना एक अच्छा एहतियाती तरीका है	fear	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  closing beach in australia is a good precautionary method [BOE] [joy] [EOE] [EOS]
R_1hGrPtWM4SumG0U_5	R_1hGrPtWM4SumG0U	342	5.332999999999999	4.625	1	1	रूसियों की सबसे बड़ी पीढ़ी के साथ ठीक से व्यवहार नहीं किया जा रहा है और उन्हें किसी प्रकार का वित्तीय मुआवजा मिलना चाहिए। वे आर्थिक रूप से बहुत कम प्रति दिन जी रहे हैं और खराब स्थिति में रहते हैं। उपयोगिताओं का भुगतान करने के बाद, उनके पास मुश्किल से भोजन के लिए पर्याप्त होता है। स्वास्थ्य देखभाल भी बदतर हो गई है क्योंकि इसमें शामिल लागतों के कारण वे उचित स्वास्थ्य उपचार प्राप्त करने में असमर्थ हैं	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the eldest generation of russians aren't being treated properly and should have some sort of financial compensation. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  they are living off very little per day financially and live in poor conditions. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  after paying utilities, they barely have enough for food. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_1	R_1jl9vLqdDRf4Epg	2	2.333	3.125	0	0	मध्य पूर्व गड़बड़ है, मैंने ईमानदारी से कभी भी मध्य पूर्व के देश के बारे में नहीं सुना है जैसे कि अफ़गानिस्तान लोगों को निर्वासित कर रहा है, इसका उल्लेख सिर्फ अजीब लगता है, जो बिल्ली उस गंदगी छेद वाले देश में रहना चाहेगी जो आतंकवादियों से पीड़ित है और बाल बलात्कारी? शायद वे शरणार्थी पसंद से बाहर हैं, ईमानदारी से उन्हें यू.एस. या यू.के. जैसे बेहतर देश में आना चाहिए, भले ही उन 2 देशों की अप्रवासन के संबंध में अपनी नीतियां हैं, लेकिन मुझे लगता है कि वे युद्धग्रस्त देशों के लोगों के प्रति काफी सहनशील हैं	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_2	R_1jl9vLqdDRf4Epg	117	2.167	2.875	0	0	सर्वप्रथम जिसने भी इस लेख को लिखा है वह नहीं जानता कि किसी लेख को अनुच्छेदों में ठीक से कैसे विभाजित किया जाए, जिसने इस लेख को पढ़ना बेहद दर्दनाक बना दिया, लेकिन फिर भी मुझे इस लेख को पढ़ने के बाद पता चला कि जीका वायरस वीर्य और योनि द्रव में लंबे समय तक रहने की प्रवृत्ति रखता है। समय की विस्तारित अवधि, इसलिए यह स्पष्ट है कि जीका वायरस वाले लोगों के साथ मेल-जोल न रखें, और बच्चा पैदा करने के बारे में भी न सोचें, वे दोषपूर्ण होने जा रहे हैं	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective [BOE] [sadness] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_3	R_1jl9vLqdDRf4Epg	189	3.833	4.25	0	1	अच्छी तरह से अच्छी तरह से देखें कि हमारे पास क्या अच्छा है, अभिमानी किम कार्दशियन को आखिरकार वह मिल गया जिसकी वह हकदार है: लाखों के लिए लूटा जा रहा है, इसके बारे में सोचा जाना कड़वा है, यह देखते हुए कि यह एक डकैती है, लेकिन दूसरा तरीका सोचें, एक अमीर शानदार लड़की किम के रूप में, सोशल मीडिया पर अपना सामान प्रसारित करते हुए, मुझे लगता है कि वह इसे अपने ऊपर ले आई	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_4	R_1jl9vLqdDRf4Epg	330	3.167	3.375	0	0	अपने काले निवासियों के खिलाफ अमेरिकी पुलिस की एक और गड़बड़ मानसिक बीमारी, मुझे ईमानदारी से पता नहीं है कि उन्हें अपनी कमबख्त बंदूकों के साथ इतना संवेदनशील क्यों होना पड़ता है, वे लोगों को गोली मारते हैं जैसे कि लोग गोली मारने के बाद प्रतिक्रिया कर सकते हैं या कुछ और, पुलिस को पहले दो बार सोचना चाहिए बिना किसी वैध कारण के लोगों की जान लेना, मुझे लगता है कि यह अच्छा है कि पुलिस के पास बॉडी कैम है, ताकि जनता देख सके कि वे खुद को कितना शर्मसार कर रहे हैं	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves [BOE] [anger] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_5	R_1jl9vLqdDRf4Epg	368	2.5	3.125	0	0	ऐसा लगता है कि एक कामुक कॉलेज के छात्र ने आखिरकार प्यार का पीछा करने का साहस नहीं किया, बल्कि अपने संभावित प्रेमी का बलात्कार करने के लिए, कितना घृणित कार्य और नैतिक भ्रष्टाचार, पीड़ित महिला को भावनात्मक आघात की मात्रा स्थायी है और वह कभी महसूस नहीं करेगी फिर से सुरक्षित, मुझे आशा है कि वह लंबे समय तक जेल की सजा काटेगा, जिसके बारे में उसने सोचा था	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through [BOE] [disgust] [EOE] [EOS]
