message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	raw_input_emotions
R_1hGrPtWM4SumG0U_1	R_1hGrPtWM4SumG0U	67	5.667000000000001	4.375	1	1	यो लेखबाट यी आप्रवासीहरूको बारेमा पढ्दा साँच्चै डरलाग्दो छ। यसले मलाई चिन्तित र अप्ठ्यारो महसुस गराउँछ कि सम्पूर्ण परीक्षा कसरी भयो। यो एक भयानक घटना हो कि यो भूमध्य सागर मा हुनु पर्छ। धन्यबाद त्यहाँ केही बाँचेका थिए। बच्चाहरू हराएको तथ्यले यो सबै पढ्दा धेरै भावुक बनाउँछ	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is really diheartening to read about these immigrants from this article who drowned. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  it makes me feel anxious and upset how the whole ordeal happened. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  it is a terrible occurrence that this had to happen at the mediterranean sea. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  thankfully there were some survivors. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  the fact that babies were lost makes it that much more emotional to read all of this [BOE] [sadness] [EOE] [EOS]
R_1hGrPtWM4SumG0U_2	R_1hGrPtWM4SumG0U	86	4.833	4.875	1	1	चुनावपछि आत्महत्या रोकथाम लाइनको फोन लाइन बढ्यो। रोबिन विलियम्सले आत्महत्या गर्दा यो पनि चढेको थियो। धन्यबाद त्यहाँ आत्महत्या गर्ने विचारहरू भएकाहरूलाई मद्दत गर्न यो रोकथाम लाइन छ तर हामीले मानिसहरूलाई सर्त गर्न आवश्यक छ कि आत्महत्या गर्नु अस्थायी समस्याको स्थायी समाधान हो।	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the phone lines from the suicide prevention line surged after the election. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  it also climbed when robin williams committed suciide. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem [BOE] [neutral] [EOE] [EOS]
R_1hGrPtWM4SumG0U_3	R_1hGrPtWM4SumG0U	206	5.332999999999999	3.5	1	0	तपाईको सम्पदा जस्तोसुकै होस्, तपाईले आफ्नो देशको सेवा गर्न सक्षम हुनुपर्दछ। उनको थाई सम्पदाले उनलाई रोक्नु हुँदैन र यो बहसमा मुद्दा हुनु हुँदैनथ्यो। ट्यामी डकवर्थ र उनको परिवारले यस देशलाई प्रदान गरेको सेवाहरूको लागि बधाई दिनै पर्छ। बहसमा कुनै पनि प्रकारको जातिवादलाई अनुमति दिनु हुँदैन	neutral	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] no matter what your heritage, you should be able to serve your country. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  tammy duckworth and her family should be congratulated on the services they have provided to this country. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS]  any type of racism should not be allowed in a debate [BOE] [anger] [EOE] [EOS]
R_1hGrPtWM4SumG0U_4	R_1hGrPtWM4SumG0U	290	4.167	5.25	1	1	यी सबै शार्क आक्रमणहरूको बारेमा जान्न डरलाग्दो छ तर यी सर्फरहरू खेलसँग सम्बन्धित जोखिमहरू बारे सचेत हुनुपर्छ। शार्कहरूलाई स्थानान्तरण गर्ने प्राथमिकता हुनुपर्छ र शार्कको महामारीको सामना नगरेसम्म वाटर स्पोर्ट्समा रोक लगाउनु राम्रो हितमा हुनेछ। अष्ट्रेलियामा समुद्र तट बन्द गर्नु राम्रो सावधानी विधि हो	fear	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  closing beach in australia is a good precautionary method [BOE] [joy] [EOE] [EOS]
R_1hGrPtWM4SumG0U_5	R_1hGrPtWM4SumG0U	342	5.332999999999999	4.625	1	1	रूसीहरूको जेठो पुस्तालाई राम्रोसँग व्यवहार गरिएको छैन र उनीहरूलाई केही प्रकारको आर्थिक क्षतिपूर्ति हुनुपर्छ। तिनीहरू आर्थिक रूपमा दैनिक ज्यादै थोरै बाँचिरहेका छन् र गरीब अवस्थामा बाँचिरहेका छन्। उपयोगिताहरू भुक्तान गरिसकेपछि, तिनीहरूसँग खानाको लागि मात्र पर्याप्त छ। खर्चको कारणले उचित स्वास्थ्य उपचार गराउन नसक्ने भएकाले स्वास्थ्य सेवा पनि झनै खराब भएको छ ।	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the eldest generation of russians aren't being treated properly and should have some sort of financial compensation. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  they are living off very little per day financially and live in poor conditions. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  after paying utilities, they barely have enough for food. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_1	R_1jl9vLqdDRf4Epg	2	2.333	3.125	0	0	मिडल इस्ट अप्ठ्यारोमा परेको छ, अफगानिस्तान जस्ता मध्यपूर्वी देशले मानिसहरूलाई निर्वासन गरेको कुरा मैले इमान्दारीपूर्वक कहिल्यै सुनेको छैन, यसको उल्लेख मात्र हास्यास्पद लाग्छ, कसले आतंककारीहरू र आतङ्ककारीहरूबाट ग्रस्त भएको त्यो देशमा बस्न चाहन्छ। बाल बलात्कारी ? हुनसक्छ ती शरणार्थीहरू छनौट बाहिर छन्, इमानदारीपूर्वक तिनीहरू अमेरिका वा यूके जस्ता राम्रो देशमा आउनुपर्दछ, यद्यपि ती 2 देशहरूको अध्यागमन सम्बन्धी आफ्नै नीतिहरू छन्, तर मलाई लाग्छ कि उनीहरू युद्धग्रस्त देशहरूका मानिसहरूलाई एकदमै सहिष्णु छन्।	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_2	R_1jl9vLqdDRf4Epg	117	2.167	2.875	0	0	सबै भन्दा पहिले यो लेख लेख्ने जो कोहीले लेखलाई अनुच्छेदमा कसरी विभाजन गर्ने भनेर थाहा छैन, जसले यो लेख पढेर अत्यन्त पीडादायी बनायो, तर जे होस्, जिका भाइरस वीर्य र योनिको तरल पदार्थमा रहन्छ भन्ने लेख पढेपछि मलाई थाहा छ। समयको विस्तारित मात्रा, त्यसैले यो स्पष्ट छ कि जिका भाइरस भएका व्यक्तिहरूसँग सम्भोग नगर्नुहोस्, र बच्चा जन्माउने बारे सोच्नुहोस्, तिनीहरू दोषपूर्ण हुनेछन्।	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective [BOE] [sadness] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_3	R_1jl9vLqdDRf4Epg	189	3.833	4.25	0	1	राम्रोसँग राम्रोसँग हेर्नुहोस्, हामीसँग के छ हेर्नुहोस्, अहंकारी किम कार्दशियनले अन्ततः आफूले योग्यको कुरा पायो: लाखौंको लागि लुटिएको, यो सोचाइ तीतो छ, यो सबै पछि डकैती हो भनेर सोच्नुहोस्, तर अर्को तरिका सोच्नुहोस्, एक धनी अनावश्यक केटी किमले सामाजिक सञ्जालमा आफ्ना सामानहरू प्रसारण गर्दा, मलाई लाग्छ कि उनले यो आफैंमा ल्याइन्	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_4	R_1jl9vLqdDRf4Epg	330	3.167	3.375	0	0	कालो बासिन्दाहरू विरुद्ध अमेरिकी पुलिसको अर्को मानसिक रोग, मलाई इमानदारीपूर्वक थाहा छैन किन तिनीहरू आफ्नो कमबख्त बन्दुकको साथ यति संवेदनशील हुनु पर्छ, उनीहरूले मानिसहरूलाई गोली हान्छन् जस्तो कि मानिसहरूले गोली हानेपछि वा केहि पछि पुनरुत्थान गर्न सक्छन्, पुलिसले पहिले दुई पटक सोच्नु पर्छ। बिना कुनै वैधानिक कारणले जनताको ज्यान लिनु, मलाई लाग्छ कि यो राम्रो हो कि पुलिससँग बडी क्याम छ, त्यसैले जनताले देख्न सक्नेछन् कि उनीहरूले आफैंमा कस्तो लाज ल्याइरहेका छन्।	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves [BOE] [anger] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_5	R_1jl9vLqdDRf4Epg	368	2.5	3.125	0	0	यस्तो देखिन्छ कि कलेजका एक पुरुष विद्यार्थीले अन्ततः प्रेमको पछि नलागेर आफ्नो सम्भावित प्रेमीलाई बलात्कार गर्ने साहस गरे, यो कस्तो घिनलाग्दो कार्य र नैतिक भ्रष्टता हो, पीडित महिलालाई भएको भावनात्मक आघात स्थायी छ र उसले कहिल्यै महसुस गर्नेछैन। फेरि सुरक्षित, मलाई आशा छ कि उसले लामो समयसम्म जेलमा सजाय भोग्छ जुन उसले सोचेको थियो	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through [BOE] [disgust] [EOE] [EOS]
