message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	raw_input_emotions
R_1hGrPtWM4SumG0U_1	R_1hGrPtWM4SumG0U	67	5.667000000000001	4.375	1	1	inatia moyo sana kusoma kuhusu wahamiaji hawa kutoka kwenye makala hii waliozama. inanifanya nihisi wasiwasi na kukasirisha jinsi mkasa mzima ulivyotokea. ni tukio la kutisha kwamba hii ilibidi kutokea katika bahari ya mediterranean. nashukuru kulikuwa na baadhi ya walionusurika. ukweli kwamba watoto walipotea hufanya hivyo kuwa na hisia zaidi kusoma haya yote	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is really diheartening to read about these immigrants from this article who drowned. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  it makes me feel anxious and upset how the whole ordeal happened. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  it is a terrible occurrence that this had to happen at the mediterranean sea. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  thankfully there were some survivors. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  the fact that babies were lost makes it that much more emotional to read all of this [BOE] [sadness] [EOE] [EOS]
R_1hGrPtWM4SumG0U_2	R_1hGrPtWM4SumG0U	86	4.833	4.875	1	1	laini za simu kutoka kwa njia ya kuzuia kujitoa mhanga ziliongezeka baada ya uchaguzi. pia ilipanda wakati robin williams alipojiua. tunashukuru kuna mstari huu wa kuzuia kusaidia wale wanaohitaji ambao wana mawazo ya kujiua lakini tunahitaji kuwaweka watu kuwa kujiua ni suluhisho la kudumu kwa tatizo la muda.	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the phone lines from the suicide prevention line surged after the election. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  it also climbed when robin williams committed suciide. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem [BOE] [neutral] [EOE] [EOS]
R_1hGrPtWM4SumG0U_3	R_1hGrPtWM4SumG0U	206	5.332999999999999	3.5	1	0	haijalishi urithi wako, unapaswa kuwa na uwezo wa kutumikia nchi yako. urithi wake wa thai haupaswi kumzuia na haingefaa kuwa suala katika mjadala huu. tammy duckworth na familia yake wanapaswa kupongezwa kwa huduma walizotoa kwa nchi hii. aina yoyote ya ubaguzi wa rangi haipaswi kuruhusiwa katika mjadala	neutral	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] no matter what your heritage, you should be able to serve your country. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  tammy duckworth and her family should be congratulated on the services they have provided to this country. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS]  any type of racism should not be allowed in a debate [BOE] [anger] [EOE] [EOS]
R_1hGrPtWM4SumG0U_4	R_1hGrPtWM4SumG0U	290	4.167	5.25	1	1	inatisha kujifunza kuhusu mashambulizi haya yote ya papa lakini wasafiri hawa wanapaswa kufahamu hatari zinazohusiana na mchezo huo. kuwahamisha papa kunapaswa kuwa kipaumbele na itakuwa vyema kuanzisha usitishwaji wa michezo ya majini hadi pale janga la papa litakaposhughulikiwa. kufunga pwani katika Australia ni njia nzuri ya tahadhari	fear	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  closing beach in australia is a good precautionary method [BOE] [joy] [EOE] [EOS]
R_1hGrPtWM4SumG0U_5	R_1hGrPtWM4SumG0U	342	5.332999999999999	4.625	1	1	kizazi kongwe cha Warusi hawatendewi ipasavyo na wanapaswa kuwa na aina fulani ya fidia ya kifedha. wanaishi kwa kipato kidogo sana kwa siku na wanaishi katika hali duni. baada ya kulipa huduma, hawana chakula cha kutosha. huduma za afya nazo zimeingia doa kwa sababu hawana uwezo wa kupata matibabu stahiki kutokana na gharama zinazohusika	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the eldest generation of russians aren't being treated properly and should have some sort of financial compensation. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  they are living off very little per day financially and live in poor conditions. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  after paying utilities, they barely have enough for food. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_1	R_1jl9vLqdDRf4Epg	2	2.333	3.125	0	0	Mashariki ya kati imechafuka, kwa kweli sijawahi kusikia nchi ya mashariki ya kati kama vile Afganistan kuwafukuza watu, kutajwa kwake kunasikika kuwa ya kuchekesha, ni nani angetaka kubaki katika nchi hiyo ya shimo ambayo imevamiwa na magaidi. wabakaji watoto? Labda wakimbizi hao hawana chaguo, kwa kweli wanapaswa kuja katika nchi bora kama vile Marekani au Uingereza, ingawa nchi hizo 2 zina sera zao kuhusu uhamiaji, lakini nadhani zinawavumilia watu kutoka nchi zilizokumbwa na vita.	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_2	R_1jl9vLqdDRf4Epg	117	2.167	2.875	0	0	kwanza kabisa aliyeandika makala haya hajui kugawanya vizuri kifungu katika aya, jambo ambalo lilifanya kusoma makala hii kuwa chungu sana, lakini hata hivyo najua baada ya kusoma makala kwamba virusi vya Zika huwa vinakaa kwenye shahawa na maji ya uke kwa muda ulioongezwa, kwa hivyo ni dhahiri usishirikiane na watu walio na virusi vya zika, na usifikirie hata kupata mtoto, watakuwa na kasoro.	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective [BOE] [sadness] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_3	R_1jl9vLqdDRf4Epg	189	3.833	4.25	0	1	vizuri, angalia kile tulichonacho, Kim Kardashian mwenye kiburi hatimaye alipata kile anachostahili: kuibiwa kwa mamilioni, mawazo yake ni machungu, ukizingatia kuwa ni wizi baada ya yote, lakini fikiria njia nyingine, gal tajiri kupita kiasi. kama Kim, akitangaza vitu vyake kwenye mitandao ya kijamii, nadhani alijiletea hili	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_4	R_1jl9vLqdDRf4Epg	330	3.167	3.375	0	0	ugonjwa mwingine wa akili wa polisi wa Merika dhidi ya wakaazi wake weusi, kwa kweli sijui kwanini wanapaswa kuwa wasikivu na bunduki zao za kutisha, wanapiga watu risasi kana kwamba watu wanaweza kuibuka baada ya kupigwa risasi au kitu, polisi wanapaswa kufikiria mara mbili kabla. kuchukua maisha ya watu bila sababu za msingi, nadhani ni vizuri polisi wawe na kamera ya mwili, ili umma uone ni aibu gani wanayojiletea.	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves [BOE] [anger] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_5	R_1jl9vLqdDRf4Epg	368	2.5	3.125	0	0	inaonekana mwanafunzi wa chuo kikuu wa kiume mwenye roho mbaya hatimaye amepata ujasiri wa kutofuata mapenzi, lakini kumbaka mpenzi wake wa karibu, ni kitendo cha kuchukiza sana na ufisadi wa maadili, kiasi cha kiwewe cha kihemko kinachofanywa kwa mwathirika wa kike ni cha kudumu na hangeweza kuhisi kamwe. salama tena, natumai atafungwa jela kwa muda wa kutosha aliofikiria	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through [BOE] [disgust] [EOE] [EOS]
