message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	raw_input_emotions
R_1hGrPtWM4SumG0U_1	R_1hGrPtWM4SumG0U	67	5.667000000000001	4.375	1	1	మునిగిపోయిన ఈ కథనం నుండి ఈ వలసదారుల గురించి చదవడం నిజంగా హృదయపూర్వకంగా ఉంది. అది నాకు ఆత్రుతగా మరియు మొత్తం పరీక్ష ఎలా జరిగిందో కలత చెందేలా చేస్తుంది. ఇది మధ్యధరా సముద్రంలో జరగడం ఒక భయంకరమైన సంఘటన. అదృష్టవశాత్తూ కొందరు ప్రాణాలతో బయటపడ్డారు. పిల్లలు పోగొట్టుకున్నారనే వాస్తవం ఇవన్నీ చదవడం మరింత భావోద్వేగానికి గురి చేస్తుంది	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is really diheartening to read about these immigrants from this article who drowned. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  it makes me feel anxious and upset how the whole ordeal happened. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  it is a terrible occurrence that this had to happen at the mediterranean sea. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  thankfully there were some survivors. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  the fact that babies were lost makes it that much more emotional to read all of this [BOE] [sadness] [EOE] [EOS]
R_1hGrPtWM4SumG0U_2	R_1hGrPtWM4SumG0U	86	4.833	4.875	1	1	ఎన్నికల తర్వాత ఆత్మహత్య నిరోధక లైన్ నుండి ఫోన్ లైన్లు పెరిగాయి. రాబిన్ విలియమ్స్ ఆత్మహత్య చేసుకున్నప్పుడు అది కూడా పెరిగింది. అదృష్టవశాత్తూ, ఆత్మహత్య ఆలోచనలు ఉన్న వారికి సహాయం చేయడానికి ఈ నివారణ రేఖ ఉంది, అయితే ఆత్మహత్య చేసుకోవడం తాత్కాలిక సమస్యకు శాశ్వత పరిష్కారమని మేము ప్రజలను షరతు పెట్టాలి	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the phone lines from the suicide prevention line surged after the election. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  it also climbed when robin williams committed suciide. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem [BOE] [neutral] [EOE] [EOS]
R_1hGrPtWM4SumG0U_3	R_1hGrPtWM4SumG0U	206	5.332999999999999	3.5	1	0	మీ వారసత్వం ఏమైనప్పటికీ, మీరు మీ దేశానికి సేవ చేయగలగాలి. ఆమె థాయ్ వారసత్వం ఆమెను నిరోధించకూడదు మరియు ఈ చర్చలో సమస్యగా ఉండకూడదు. టామీ డక్‌వర్త్ మరియు ఆమె కుటుంబ సభ్యులు ఈ దేశానికి అందించిన సేవలను అభినందించాలి. ఏ రకమైన జాత్యహంకారాన్ని చర్చలో అనుమతించకూడదు	neutral	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] no matter what your heritage, you should be able to serve your country. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  tammy duckworth and her family should be congratulated on the services they have provided to this country. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS]  any type of racism should not be allowed in a debate [BOE] [anger] [EOE] [EOS]
R_1hGrPtWM4SumG0U_4	R_1hGrPtWM4SumG0U	290	4.167	5.25	1	1	ఈ షార్క్ దాడుల గురించి తెలుసుకోవడం చాలా భయంగా ఉంది, అయితే ఈ సర్ఫర్‌లు క్రీడకు సంబంధించిన ప్రమాదాల గురించి తెలుసుకోవాలి. సొరచేపలను తరలించడం ప్రాధాన్యతనివ్వాలి మరియు షార్క్ మహమ్మారిని పరిష్కరించే వరకు వాటర్ స్పోర్ట్స్‌పై తాత్కాలిక నిషేధాన్ని ఏర్పాటు చేయడం ఉత్తమం. ఆస్ట్రేలియాలో బీచ్‌ని మూసివేయడం మంచి ముందుజాగ్రత్త పద్ధతి	fear	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS]  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  closing beach in australia is a good precautionary method [BOE] [joy] [EOE] [EOS]
R_1hGrPtWM4SumG0U_5	R_1hGrPtWM4SumG0U	342	5.332999999999999	4.625	1	1	పెద్ద తరం రష్యన్లు సరిగా చికిత్స పొందడం లేదు మరియు వారికి కొంత ఆర్థిక పరిహారం ఉండాలి. వారు ఆర్థికంగా రోజుకు చాలా తక్కువగా జీవిస్తున్నారు మరియు పేద పరిస్థితుల్లో జీవిస్తున్నారు. యుటిలిటీలను చెల్లించిన తర్వాత, వారికి ఆహారం కోసం సరిపోదు. ఆరోగ్య సంరక్షణ కూడా అధ్వాన్నంగా మారింది, ఎందుకంటే వారు ఖర్చుల కారణంగా సరైన ఆరోగ్య చికిత్సను పొందలేరు	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	[BOS] the eldest generation of russians aren't being treated properly and should have some sort of financial compensation. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  they are living off very little per day financially and live in poor conditions. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS]  after paying utilities, they barely have enough for food. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS]  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_1	R_1jl9vLqdDRf4Epg	2	2.333	3.125	0	0	మిడిల్ ఈస్ట్ ఇబ్బంది పడింది, ఆఫ్గనిస్తాన్ వంటి మిడిల్ ఈస్ట్ దేశం ప్రజలను బహిష్కరించడం గురించి నేను నిజాయితీగా ఎప్పుడూ వినలేదు, దాని ప్రస్తావన కేవలం హాస్యాస్పదంగా ఉంది, ఉగ్రవాదులు మరియు ఉగ్రవాదులతో నిండిన ఆ షిట్ హోల్ దేశంలో ఎవరు ఉండాలనుకుంటున్నారు పిల్లల రేపిస్టులా? బహుశా ఆ శరణార్థులకు ఎంపిక లేదు, నిజాయితీగా వారు యు.ఎస్ లేదా యు.కె వంటి మెరుగైన దేశానికి రావాలి, ఆ 2 దేశాలు ఇమ్మిగ్రేషన్‌కు సంబంధించి వారి స్వంత విధానాలను కలిగి ఉన్నప్పటికీ, వారు యుద్ధంలో దెబ్బతిన్న దేశాల ప్రజలను చాలా సహించగలరని నేను భావిస్తున్నాను	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_2	R_1jl9vLqdDRf4Epg	117	2.167	2.875	0	0	ముందుగా ఈ కథనాన్ని వ్రాసిన వారికి పేరాగ్రాఫ్‌లుగా ఎలా విభజించాలో తెలియదు, ఈ కథనాన్ని చదవడం చాలా బాధాకరం, అయినప్పటికీ, జికా వైరస్ వీర్యం మరియు యోని ద్రవంలో ఉంటుందని వ్యాసం చదివిన తర్వాత నాకు తెలుసు. ఎక్కువ సమయం ఉంది, కాబట్టి జికా వైరస్ ఉన్నవారితో సహజీవనం చేయవద్దు మరియు బిడ్డ పుట్టడం గురించి కూడా ఆలోచించవద్దు, వారు లోపభూయిష్టంగా ఉంటారు	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective [BOE] [sadness] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_3	R_1jl9vLqdDRf4Epg	189	3.833	4.25	0	1	బాగా, మన దగ్గర ఉన్నవాటిని చూడండి, అహంకారి కిమ్ కర్దాషియాన్ చివరికి ఆమెకు అర్హమైనది: మిలియన్ల కొద్దీ దోచుకోవడం, దాని గురించి ఆలోచన చేదుగా ఉంది, ఇది దోపిడీగా పరిగణించబడుతుంది, కానీ మరొక విధంగా ఆలోచించండి, గొప్ప నిరుపయోగమైన అమ్మాయి కిమ్‌గా, సోషల్ మీడియాలో తన వస్తువులను ప్రసారం చేస్తూ, ఆమె ఈ విషయాన్ని తనపైకి తెచ్చుకుందని నేను అనుకుంటున్నాను	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself [BOE] [neutral] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_4	R_1jl9vLqdDRf4Epg	330	3.167	3.375	0	0	నల్లజాతి నివాసితులపై అమెరికన్ పోలీసు యొక్క మరొక మానసిక అనారోగ్యం, వారు తమ ఫకింగ్ గన్‌లతో ఎందుకు చాలా సున్నితంగా ఉండాలో నాకు నిజాయితీగా తెలియదు, వారు కాల్చి చంపిన తర్వాత లేదా మరేదైనా ప్రజలు తిరిగి వచ్చేలా ప్రజలను కాల్చివేస్తారు, పోలీసులు ముందు ఒకటికి రెండుసార్లు ఆలోచించాలి ఎటువంటి చట్టబద్ధమైన కారణం లేకుండా ప్రజల ప్రాణాలను తీసివేసారు, పోలీసులు బాడీ క్యామ్‌ను కలిగి ఉండటం మంచిదని నేను భావిస్తున్నాను, తద్వారా వారు తమకు తాముగా ఎలాంటి అవమానాన్ని తెచ్చుకుంటున్నారో ప్రజలు చూడగలరు	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves [BOE] [anger] [EOE] [EOS]
R_1jl9vLqdDRf4Epg_5	R_1jl9vLqdDRf4Epg	368	2.5	3.125	0	0	ఒక కొమ్ముకాసే మగ కాలేజీ విద్యార్థి చివరకు ప్రేమను కొనసాగించకుండా ధైర్యం తీసుకున్నట్లు అనిపిస్తుంది, కానీ తన సంభావ్య ప్రేమికుడిని అత్యాచారం చేయడానికి, ఎంత అసహ్యకరమైన చర్య మరియు నైతిక అవినీతి, బాధిత మహిళకు చేసిన మానసిక గాయం శాశ్వతమైనది మరియు ఆమె ఎప్పటికీ అనుభూతి చెందదు మళ్ళీ సురక్షితంగా, అతను అనుకున్నంత కాలం జైలు శిక్ష పడుతుందని నేను ఆశిస్తున్నాను	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	[BOS] it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through [BOE] [disgust] [EOE] [EOS]
